timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681813392197,3740,01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",JpetReg_Dynamic 1-1,,true,,59394,8356,3,3,null,230,2,0
1681813395796,223,/actions/Account.action-85,200,,JpetReg_Dynamic 1-3,text,true,,5813,670,3,3,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,223,0,0
1681813395796,223,/actions/Account.action-85-0,200,,JpetReg_Dynamic 1-3,text,true,,5813,670,3,3,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,223,0,0
1681813395795,223,03_ClickOnRegisterNow,200,"Number of samples in transaction : 1, number of failing samples : 0",JpetReg_Dynamic 1-3,,true,,5813,670,3,3,null,223,3,0
1681813395939,225,/actions/Account.action;jsessionid=DB214B0BB74BFD72B29CB3683A750FA1-81,200,,JpetReg_Dynamic 1-1,text,true,,3849,654,3,3,https://petstore.octoperf.com/actions/Account.action;jsessionid=B126AF40F08F4B60FC0172F9DBD9165E?signonForm=,225,0,0
1681813395939,225,/actions/Account.action;jsessionid=DB214B0BB74BFD72B29CB3683A750FA1-81-0,200,,JpetReg_Dynamic 1-1,text,true,,3849,654,3,3,https://petstore.octoperf.com/actions/Account.action;jsessionid=B126AF40F08F4B60FC0172F9DBD9165E?signonForm=,225,0,0
1681813395939,225,02_ClickOnSignIn,200,"Number of samples in transaction : 1, number of failing samples : 0",JpetReg_Dynamic 1-1,,true,,3849,654,3,3,null,225,2,0
1681813392409,3761,/actions/Catalog.action-57,200,,JpetReg_Dynamic 1-2,text,true,,59394,8356,3,3,https://petstore.octoperf.com/actions/Catalog.action,387,0,0
1681813392409,387,/actions/Catalog.action-57-0,200,,JpetReg_Dynamic 1-2,text,true,,5419,475,3,3,https://petstore.octoperf.com/actions/Catalog.action,387,0,0
1681813392798,218,/actions/Catalog.action-57-1,200,,JpetReg_Dynamic 1-2,text,true,,5966,523,3,3,https://petstore.octoperf.com/css/jpetstore.css,218,0,0
1681813393018,219,/actions/Catalog.action-57-2,200,,JpetReg_Dynamic 1-2,bin,true,,4095,528,3,3,https://petstore.octoperf.com/images/logo-topbar.gif,219,0,0
1681813393239,220,/actions/Catalog.action-57-3,200,,JpetReg_Dynamic 1-2,bin,true,,379,521,3,3,https://petstore.octoperf.com/images/cart.gif,220,0,0
